article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,graphic_kind,graphic_kinds,scene_tags,scene_description,motion_cues,risk_notes
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,01,cover,,,6a16e5eaf299094957dd2265,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5eaf299094957dd2265/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5eaf299094957dd2265/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/01.jpeg,JPEG,671,504,JPEG,671,504,59151,18d7180b176b022a7b0ce6296a97504a121964f477be99396660b65cdc3cc97b,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,02,gallery_image,4,0,6a16e5eaf299094957dd2265,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5eaf299094957dd2265/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5eaf299094957dd2265/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/02.jpeg,JPEG,671,504,JPEG,671,504,59151,18d7180b176b022a7b0ce6296a97504a121964f477be99396660b65cdc3cc97b,ok,,19/01,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,03,gallery_image,4,1,6a16e5eae627286f98611976,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5eae627286f98611976/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5eae627286f98611976/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/03.jpeg,JPEG,850,618,JPEG,850,618,101524,ca727e44315c13b2efedff38e1357b05e98fe9c9b2d11e38caddce6e30258d59,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,04,gallery_image,4,2,6a16e5ea6c2df363cc43a4ed,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5ea6c2df363cc43a4ed/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5ea6c2df363cc43a4ed/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/04.jpeg,JPEG,2048,1448,JPEG,2048,1448,274747,bed9d12d73ba83aadccd45ad773a4482ef659fa2434f3e06a7d36080b466e248,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,05,gallery_image,9,0,6a16e5ea621e7f7d1833e7f1,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ea621e7f7d1833e7f1/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ea621e7f7d1833e7f1/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/05.jpeg,JPEG,850,636,JPEG,850,636,172676,abac7c55e5140ba997fc4da30c0f8d514a6380d763de3233287d23a771dcc829,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,06,gallery_image,9,1,6a16e5eae627286f98611980,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5eae627286f98611980/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5eae627286f98611980/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/06.jpeg,JPEG,2048,1448,JPEG,2048,1448,213354,404a7aaa997f8eb77cf58cb21678f6b9836a099e2b2f4287788a308edddeeebc,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,07,gallery_image,9,2,6a16e5ea6c2df363cc43a4ec,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ea6c2df363cc43a4ec/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ea6c2df363cc43a4ec/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/07.jpeg,JPEG,660,440,JPEG,660,440,99137,fc78b406dde803e396634503e833808459aafcd5bbf7cbd3799d41e3c1463f24,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,08,gallery_image,14,0,6a16e5ebf299094957dd22a4,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ebf299094957dd22a4/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a16e5c7621e7f7d1833e285_6a16e5ebf299094957dd22a4/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/08.jpeg,JPEG,850,637,JPEG,850,637,130391,52d57128144158c23cb0d2592dead08de066ff2275a93998510d88b908a4abec,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,09,gallery_image,14,1,6a16e5ebf299094957dd22a5,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5ebf299094957dd22a5/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a16e5c7621e7f7d1833e285_6a16e5ebf299094957dd22a5/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/09.jpeg,JPEG,660,492,JPEG,660,492,52676,e0eeb5dbc86f7d48e5ad0a8a31b867a4956b76d0a1f6ff99c40263d45995ad5d,ok,,,,,,,,,
19,Pixel24 — Стоп-кадр и другие классные фишки экшн-камер в Pixel24,https://pixel24.promo.page/promo/stopkadr-i-drugie-klassnye-fishki-ekshnkamer-v-pixel24-6a16e5c7621e7f7d1833e285_0_0,10,gallery_image,19,0,6a16e5ebe627286f986119c8,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5ebe627286f986119c8/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a16e5c7621e7f7d1833e285_6a16e5ebe627286f986119c8/orig,PROMOPAGES-10060-campaigns-20260807-v1/articles/19-pixel24-ekshn-kamery/10.jpeg,JPEG,675,506,JPEG,675,506,114818,14aad1b7880dc4669240f822d88352d2f6e5cf54035f65e69893a4a13f8ddee1,ok,,,,,,,,,
